Estado,Clave municipal,Municipio,  PM10,  PM2.5,  SO2,  CO,  NOX,  COV,  NH3
Chiapas,07057,Motozintla, 396.66 , 320.44 , 9.73 ," 2,491.19 "," 1,265.42 "," 8,401.69 ", 736.08 
Chiapas,07058,Nicolás Ruíz, 33.41 , 27.74 , 0.81 , 241.09 , 165.77 , 504.76 , 22.23 
Chiapas,07059,Ocosingo," 1,386.88 "," 1,010.55 ", 31.61 ," 10,784.70 "," 12,034.84 "," 332,382.92 "," 1,235.82 "
Chiapas,07060,Ocotepec, 72.26 , 64.41 , 1.91 , 549.04 , 37.29 ," 5,040.94 ", 83.19 
Chiapas,07061,Ocozocoautla de Espinosa, 510.81 , 416.88 , 15.79 ," 5,881.17 "," 3,284.41 "," 35,905.98 "," 9,312.98 "
Chiapas,07062,Ostuacán, 155.25 , 106.40 , 11.48 ," 1,174.23 "," 1,487.73 "," 5,650.61 ", 230.00 
Chiapas,07063,Osumacinta, 26.04 , 20.28 , 0.64 , 171.11 , 118.36 ," 1,141.40 ", 33.22 
Chiapas,07064,Oxchuc, 278.19 , 244.81 , 7.52 ," 2,441.69 ", 589.41 ," 2,879.37 ", 357.07 
Chiapas,07065,Palenque, 901.91 , 687.15 , 26.83 ," 9,707.18 "," 5,349.65 "," 36,398.21 ", 828.29 
Chiapas,07066,Pantelhó, 120.82 , 104.44 , 3.16 , 985.03 , 344.65 ," 2,042.50 ", 181.96 
Chiapas,07067,Pantepec, 72.20 , 65.30 , 2.03 , 633.56 , 156.05 ," 3,118.62 ", 46.38 
Chiapas,07068,Pichucalco, 175.49 , 131.68 , 5.71 ," 2,425.01 "," 1,671.83 "," 4,606.69 ", 235.09 
Chiapas,07069,Pijijiapan, 362.51 , 260.89 , 10.28 ," 3,687.05 "," 2,257.37 "," 18,745.35 ", 476.37 
Chiapas,07070,El Porvenir, 85.65 , 74.42 , 2.36 , 779.77 , 175.21 , 875.06 , 53.65 
Chiapas,07071,Villa Comaltitlán, 394.47 , 332.32 , 24.12 ," 3,974.97 "," 1,382.12 "," 4,778.86 ", 278.62 
Chiapas,07072,Pueblo Nuevo Solistahuacán, 219.46 , 178.36 , 9.27 ," 1,743.35 ", 582.80 ," 14,604.19 ", 212.78 
Chiapas,07073,Rayón, 41.66 , 36.97 , 1.20 , 401.28 , 185.11 ," 2,797.02 ", 32.11 
Chiapas,07074,Reforma, 407.58 , 353.04 ," 10,880.87 "," 6,703.68 "," 5,167.52 "," 5,244.21 ", 212.34 
Chiapas,07075,Las Rosas, 255.51 , 224.34 , 14.78 ," 2,352.94 ", 944.00 ," 2,624.78 ", 117.38 
Chiapas,07076,Sabanilla, 205.13 , 170.03 , 5.02 ," 1,450.57 ", 627.91 ," 6,662.41 ", 279.13 
Chiapas,07077,Salto de Agua, 521.13 , 405.46 , 12.60 ," 3,650.92 "," 2,431.77 "," 19,074.40 ", 395.55 
Chiapas,07078,San Cristóbal de las Casas, 548.10 , 465.22 , 24.23 ," 14,679.73 "," 3,669.55 "," 5,715.69 ", 359.60 
Chiapas,07079,San Fernando, 131.49 , 113.21 , 4.30 ," 1,912.72 ", 554.98 ," 3,952.85 ", 147.08 
Chiapas,07080,Siltepec, 277.40 , 223.29 , 8.34 ," 2,312.99 ", 579.86 ," 13,497.43 ", 452.36 
Chiapas,07081,Simojovel, 299.18 , 232.51 , 7.16 ," 2,328.23 ", 497.80 ," 6,658.52 ", 473.86 
Chiapas,07082,Sitalá, 85.86 , 74.42 , 2.22 , 635.76 , 95.64 , 524.07 , 157.03 
Chiapas,07083,Socoltenango, 351.36 , 298.75 , 26.92 ," 2,481.17 ", 943.32 ," 2,539.43 ", 160.42 
Chiapas,07084,Solosuchiapa, 54.58 , 42.66 , 1.89 , 421.98 , 310.41 ," 1,540.77 ", 99.97 
Chiapas,07085,Soyaló, 52.52 , 45.07 , 1.44 , 477.54 , 114.00 , 474.39 , 42.85 
Chiapas,07086,Suchiapa, 213.78 , 185.88 , 4.24 ," 1,816.81 ", 626.81 ," 2,147.26 ", 113.50 
Chiapas,07087,Suchiate, 159.57 , 140.64 , 4.47 ," 1,173.76 ", 673.56 ," 2,091.75 ", 99.31 
Chiapas,07088,Sunuapa, 20.02 , 12.96 , 0.39 , 126.55 , 176.31 , 989.04 , 40.74 
